,date,count
0,2015-9,8405
1,2015-10,8941
2,2015-11,7805
3,2015-12,8022
4,2016-1,8773
5,2016-2,8773
6,2016-3,8915
7,2016-4,8789
8,2016-5,8953
9,2016-6,8951
10,2016-7,9459
11,2016-8,10007
12,2016-9,9266
13,2016-10,9543
14,2016-11,8936
15,2016-12,8781
16,2017-1,9073
17,2017-2,8182
18,2017-3,9580
19,2017-4,9293
20,2017-5,10193
21,2017-6,9231
22,2017-7,10181
23,2017-8,10473
24,2017-9,10007
25,2017-10,9897
26,2017-11,8795
27,2017-12,8863
28,2018-1,9487
29,2018-2,9061
30,2018-3,9025
31,2018-4,9115
32,2018-5,9837
33,2018-6,9338
34,2018-7,9875
35,2018-8,10839
36,2018-9,8089
