,city,Street,ZIP,LAT,LON
236575,SANTA ROSA,9TH ST & A ST,95401.0,38.44265475,-122.7200034
237137,SANTA ROSA,2ND ST & E ST,95404.0,38.44053199,-122.70968880000001
237222,SANTA ROSA,CORBY AVE & HEARN AVE,95407.0,38.41429399,-122.71748640000001
238010,SANTA ROSA,FARMERS LN & HOEN AVE,95405.0,38.4388948,-122.68720800000001
238236,SANTA ROSA,FARMERS LN & PATIO CT,95405.0,38.44173424,-122.68725659999998
238265,SANTA ROSA,HAHMAN DR & MATANZAS WAY,95405.0,38.43980197,-122.6853689
241125,SANTA ROSA,6TH ST & WILSON ST,95401.0,38.43876378,-122.7216926
241126,SANTA ROSA,AIRWAY DR & INDUSTRIAL DR,95403.0,38.47686128,-122.7381217
241127,SANTA ROSA,AIRWAY DR & INDUSTRIAL DR,95403.0,38.47686128,-122.7381217
241128,SANTA ROSA,BETHARDS DR & TACHEVAH DR,95405.0,38.42823724,-122.6639304
241129,SANTA ROSA,LAZZINI AVE & TROMBETTA ST,95407.0,38.42202728,-122.7383565
241130,SANTA ROSA,MISSION BLVD & MISSION CIR & QUIGG DR,95409.0,38.45803531,-122.6729237
241131,SANTA ROSA,PAULIN DR & VENTURA AVE,95403.0,38.46720043,-122.72433079999999
241132,SANTA ROSA,BENTON ST & MENDOCINO AVE,95401.0,38.44788986,-122.7176592
241133,SANTA ROSA,MORGAN ST & RIDGWAY AVE,95401.0,38.44942048,-122.7223808
241134,SANTA ROSA,ASPEN LEAF LN & JENNINGS AVE,95401.0,38.45363033,-122.72840559999999
241135,SANTA ROSA,5TH ST & RILEY ST,95404.0,38.4414286,-122.71379180000001
241136,SANTA ROSA,6TH ST & MORGAN ST & NB SR DOWNTOWN ONRAMP,95401.0,38.43992913,-122.7193773
241137,SANTA ROSA,COFFEY LN & CONDO CT,95403.0,38.46738479,-122.74249879999999
241138,SANTA ROSA,MEADOWRIDGE LN & STONE BRIDGE RD,95409.0,38.44648726,-122.61621840000001
241139,SANTA ROSA,N WRIGHT RD & SEBASTOPOL RD,95407.0,38.42479011,-122.7688835
241140,SANTA ROSA,HOEN AVE & YULUPA AVE,95405.0,38.43955238,-122.67158059999998
241141,SANTA ROSA,PAULIN DR & VENTURA AVE,95403.0,38.46720043,-122.72433079999999
241142,SANTA ROSA,PAULIN DR & VENTURA AVE,95403.0,38.46720043,-122.72433079999999
241143,SANTA ROSA,D ST & SONOMA AVE,95404.0,38.43799433,-122.70998449999999
241144,SANTA ROSA,PAULIN DR & VENTURA AVE,95403.0,38.46720043,-122.72433079999999
241145,SANTA ROSA,2ND ST & SANTA ROSA AVE,95404.0,38.43903444,-122.71295049999999
241146,SANTA ROSA,KASHMIR DR & MONTGOMERY DR,95409.0,38.45863202,-122.6693578
241147,SANTA ROSA,LORETTA WAY & MARGARET ST,95403.0,38.47395253,-122.73362659999998
241148,SANTA ROSA,SWEETGUM CT & SWEETGUM ST,95403.0,38.47586313,-122.7432231
241149,SANTA ROSA,MARLOW CT & MARLOW RD & W STEELE LN,95403.0,38.45977767,-122.75119640000001
241150,SANTA ROSA,MONTECITO LN & RIDGEVIEW DR,95404.0,38.46015483,-122.6984473
241151,SANTA ROSA,BANYAN PL & HOPPER AVE & SKYVIEW DR,95403.0,38.47971264,-122.74219690000001
241152,SANTA ROSA,BROOKWOOD AVE & SONOMA AVE,95404.0,38.44036347,-122.70283090000001
241153,SANTA ROSA,RED OAK CIR & RED OAK DR,95403.0,38.46808497,-122.76084660000001
241154,SANTA ROSA,BAKER AVE & NB BAKER AV OFFRAMP & NB BAKER AV ONRAMP,95407.0,38.42135934,-122.7147642
241155,SANTA ROSA,NEOTOMAS AVE & TAMARISK CT & TAMARISK DR,95405.0,38.42913653,-122.67068370000001
241156,SANTA ROSA,EARDLEY AVE & TAMMY WAY,95401.0,38.447672999999995,-122.736038
241157,SANTA ROSA,CLAREMONT DR & FRANQUETTE AVE,95405.0,38.44535771,-122.68178619999999
241158,SANTA ROSA,MADISON ST & W 6TH ST,95401.0,38.43719253,-122.7252341
241159,SANTA ROSA,ESTRELLA DR & VERDUGO CT,95403.0,38.46477946,-122.73624550000001
241160,SANTA ROSA,S A ST & SONOMA AVE,95401.0,38.43587467,-122.71551409999998
