,city,Street,ZIP,LAT,LON
219121,SR,SPRING CREEK DR & YULUPA AVE,95405.0,38.44435913,-122.6753235
219178,SR,CLEVELAND AVE & JENNINGS AVE,95401.0,38.45402786,-122.7264021
219207,SR,HILLSIDE DR & ROLLING HILL DR,95404.0,38.46566454,-122.70250659999999
219236,SR,5TH ST & D ST,95404.0,38.44184295,-122.7128656
219293,SR,COLLEGE AVE & MORGAN ST,95401.0,38.44577885,-122.72255679999999
219576,SR,FRESNO AVE & SEBASTOPOL RD,95407.0,38.42549769,-122.7596831
219605,SR,HEMLOCK ST & TULIPTREE RD,95403.0,38.477546999999994,-122.746527
219692,SR,BECKY CT & COFFEY LN,95403.0,38.46233298,-122.7417378
220770,SR,BROWN ST & PINE ST,95404.0,38.43338422,-122.70911609999999
220883,SR,1ST ST & B ST,95401.0,38.43776285,-122.7142084
220940,SR,FARMERS LN & LONG DR,95405.0,38.45029799,-122.68860159999998
221055,SR,HAHMAN DR & MAGOWAN DR,95405.0,38.44571788,-122.6859217
221620,SANTA ROSA,4TH ST & JUNIOR ST,95404.0,38.44692673,-122.70178290000001
221705,SANTA ROSA,MAYNES CT & NEOTOMAS AVE,95405.0,38.42798999,-122.6690037
231234,SR,NB YOLANDA AV OFFRAMP & NB YOLANDA AV ONRAMP & SANTA ROSA AVE & YOLANDA AVE,95407.0,38.413219700000006,-122.7135365
231235,SR,GIFFEN AVE & STONY POINT RD,95407.0,38.41811952,-122.74019720000001
231236,SR,CLEVELAND AVE & HOPPER AVE,95403.0,38.47970235,-122.73446640000002
231237,SR,CROSSPOINT AVE & CROSSPOINT CT & MARLOW RD,95403.0,38.45522646,-122.7519364
231238,SR,NB STEELE LN OFFRAMP & NB STEELE LN ONRAMP & STEELE LN,95403.0,38.45997246,-122.72571909999999
231239,SR,FENWICK DR & FENWICK PL & STONYBROOK WAY,95401.0,38.43639973,-122.7477476
231240,ROS,SEBASTOPOL RD & WEST AVE,95407.0,38.42978491,-122.72890819999999
231241,SR,KAWANA SPRINGS RD & SANTA ROSA AVE,95407.0,38.41644952,-122.7135188
231242,SR,MILTON ST & TEMPLE AVE,95404.0,38.42748104,-122.7044132
231243,SR,BURT ST & SANTA ROSA AVE,95407.0,38.40971025,-122.7134884
231244,SR,AGILENT TECHNOLOGIES & FOUNTAINGROVE PKWY,95403.0,38.48232703,-122.71457209999998
231245,SR,LINK LN & W COLLEGE AVE,95401.0,38.44563699,-122.7342003
231246,SR,MOONLIGHT WAY & PETERSON LN,95403.0,38.45651293,-122.76454840000002
231247,SR,HWY 12 & INDIAN CREEK DR & JACK LONDON DR,95409.0,38.46469778,-122.6612372
231248,SR,COFFEY LN & PINER RD,95403.0,38.46873386,-122.74485390000001
231249,SR,N DUTTON AVE & W COLLEGE AVE,95401.0,38.44581039,-122.7304284
